SYMBOL,SUFFIX,NAME OF COMPANY,Status,Last_Price(5d)
QGOLDHALF,.NS,Quantum Gold Fund -Exchange Traded Fund (ETF),Listed,109.38
QUICKHEAL,.NS,Quick Heal Technologies Limited,Listed,281.1
RANEHOLDIN,.NS,Rane Holdings Limited,Listed,1360.8
RBLBANK,.NS,RBL Bank Limited,Listed,307.6
SADBHIN,.NS,Sadbhav Infrastructure Project Limited,Listed,3.73
SETCO,.NS,Setco Automotive Limited,Listed,15.09
SATIN,.NS,Satin Creditcare Network Limited,Listed,143.49
SCI,.NS,Shipping Corporation Of India Limited,Listed,225.42
SHARDAMOTR,.NS,Sharda Motor Industries Limited,Listed,950.2
SKMEGGPROD,.NS,SKM Egg Products Export (India) Limited,Listed,437.6
SPECIALITY,.NS,Speciality Restaurants Limited,Listed,116.72
SUZLON,.NS,Suzlon Energy Limited,Listed,53.02
TCS,.NS,Tata Consultancy Services Limited,Listed,3220.5
TEAMLEASE,.NS,Teamlease Services Limited,Listed,1602.6
TIL,.NS,TIL Limited,Listed,266.95
TNPETRO,.NS,Tamilnadu PetroProducts Limited,Listed,104.34
TORNTPOWER,.NS,Torrent Power Limited,Listed,1290.8
TRIDENT,.NS,Trident Limited,Listed,27.63
TRF,.NS,TRF Limited,Listed,302.25
TTKPRESTIG,.NS,TTK Prestige Limited,Listed,640.55
TVTODAY,.NS,TV Today Network Limited,Listed,135.1
UTINIFTETF,.NS,UTI Mutual Fund - UTI-Nifty Exchange Traded Fund,Listed,286.74
UCOBANK,.NS,UCO Bank,Listed,29.06
UNITECH,.NS,Unitech Limited,Listed,6.0
UNIVCABLES,.NS,Universal Cables Limited,Listed,895.25
UPL,.NS,UPL Limited,Listed,748.35
VASWANI,.NS,Vaswani Industries Limited,Listed,58.5
VGUARD,.NS,V-Guard Industries Limited,Listed,330.5
VASCONEQ,.NS,Vascon Engineers Limited,Listed,45.36
VENKEYS,.NS,Venky's (India) Limited,Listed,1420.7
VINDHYATEL,.NS,Vindhya Telelinks Limited,Listed,1417.1
VIVIMEDLAB,.NS,Vivimed Labs Limited,Listed,4.95
VSSL,.NS,Vardhman Special Steels Limited,Listed,288.9
VLSFINANCE,.NS,VLS Finance Limited,Listed,299.45
VOLTAMP,.NS,Voltamp Transformers Limited,Listed,8100.5
VSTIND,.NS,VST Industries Limited,Listed,255.3
WEIZMANIND,.NS,Weizmann Limited,Listed,100.01
WHIRLPOOL,.NS,Whirlpool of India Limited,Listed,925.4
WELCORP,.NS,Welspun Corp Limited,Listed,793.3
ZENTEC,.NS,Zen Technologies Limited,Listed,1389.1
WHEELS,.NS,Wheels India Limited,Listed,842.1
ANIKINDS,.NS,Anik Industries Limited,Listed,55.08
ASIL,.NS,Amit Spinning Industries Limited,Listed,0.7
GANGOTRI,.NS,Gangotri Textiles Limited,Listed,0.61
CUBEXTUB,.NS,Cubex Tubings Limited,Listed,95.21
PARASPETRO,.NS,Paras Petrofils Limited,Listed,1.92
ALPA,.NS,Alpa Laboratories Limited,Listed,80.58
INDOWIND,.NS,Indowind Energy Limited,Listed,14.35
THOMASCOTT,.NS,Thomas Scott (India) Limited,Listed,348.95
SRHHYPOLTD,.NS,Sree Rayalaseema Hi-Strength Hypo Limited,Listed,491.0
SPMLINFRA,.NS,SPML Infra Limited,Listed,174.11
NIFTY_FIN_SERVICE,.NS,National Stock Exchange of India (NSE) Stock Index - Nifty Financial Services,Listed,27672.6
RMMIL,.NS,Resurgere Mines & Minerals Limited,Listed,0.4
FRETAIL,.NS,Future Retail Limited,Listed,2.28
TULSI,.NS,Tulsi Extrusions Limited,Listed,0.5
APLAB,.NS,Aplab Limited,Listed,32.5
NIFTY_CPSE,.NS,National Stock Exchange of India (NSE) Stock Index - Nifty CPSE,Listed,6232.6
BHARATFORG,.NS,Bharat Forge Limited,Listed,1426.6
BUTTERFLY,.NS,Butterfly Gandhimathi Appliances Limited,Listed,688.8
EASUNREYRL,.NS,Easun Reyrolle Limited,Listed,2.4
KARMAENG,.NS,Karma Energy Limited,Listed,51.93
MANGALAM,.NS,Mangalam Drugs And Organics Limited,Listed,25.2
RAJSREESUG,.NS,Rajshree Sugars & Chemicals Limited,Listed,37.79
MMTC,.NS,MMTC Limited,Listed,55.3
MOREPENLAB,.NS,Morepen Laboratories Limited,Listed,41.51
MPSLTD,.NS,MPS Limited,Listed,1997.8
NATIONALUM,.NS,National Aluminium Company Limited,Listed,278.15
MTNL,.NS,Mahanagar Telephone Nigam Limited,Listed,36.86
MUKTAARTS,.NS,Mukta Arts Limited,Listed,61.29
ORIENTALTL,.NS,Oriental Trimex Limited,Listed,8.67
MUKANDLTD,.NS,Mukand Limited,Listed,136.9
MURUDCERA,.NS,Murudeshwar Ceramics Limited,Listed,34.69
NAHARINDUS,.NS,Nahar Industrial Enterprises Limited,Listed,109.07
NFL,.NS,National Fertilizers Limited,Listed,85.79
NAHARSPING,.NS,Nahar Spinning Mills Limited,Listed,199.47
NHPC,.NS,NHPC Limited,Listed,77.13
NAUKRI,.NS,Info Edge (India) Limited,Listed,1377.7
OMAXE,.NS,Omaxe Limited,Listed,65.02
NCC,.NS,NCC Limited,Listed,160.66
NDL,.NS,Nandan Denim Limited,Listed,2.98
NECLIFE,.NS,Nectar Lifesciences Limited,Listed,21.04
NOCIL,.NS,NOCIL Limited,Listed,158.88
NESCO,.NS,Nesco Limited,Listed,1243.7
NELCAST,.NS,Nelcast Limited,Listed,109.44
NEXTMEDIA,.NS,Next Mediaworks Limited,Listed,6.15
NILKAMAL,.NS,Nilkamal Limited,Listed,1419.4
NIPPOBATRY,.NS,Indo-National Limited,Listed,425.0
NITCO,.NS,Nitco Limited,Listed,90.99
ONMOBILE,.NS,OnMobile Global Limited,Listed,56.2
NITINSPIN,.NS,Nitin Spinners Limited,Listed,317.65
ONWARDTEC,.NS,Onward Technologies Limited,Listed,277.25
NITINFIRE,.NS,Nitin Fire Protection Industries Limited,Listed,1.85
NMDC,.NS,NMDC Limited,Listed,77.94
NRBBEARING,.NS,NRB Bearing Limited,Listed,284.65
ORBTEXP,.NS,Orbit Exports Limited,Listed,185.6
NSIL,.NS,Nalwa Sons Investments Limited,Listed,6725.0
PRAKASHSTL,.NS,Prakash Steelage Limited,Listed,4.07
NOIDATOLL,.NS,Noida Toll Bridge Company Limited,Listed,4.52
PARACABLES,.NS,Paramount Communications Limited,Listed,36.95
NUTEK,.NS,Nu Tek India Limited,Listed,0.35
NTPC,.NS,NTPC Limited,Listed,325.05
OMAXAUTO,.NS,Omax Autos Limited,Listed,99.29
ONGC,.NS,Oil & Natural Gas Corporation Limited,Listed,238.02
PGEL,.NS,PG Electroplast Limited,Listed,567.1
OIL,.NS,Oil India Limited,Listed,404.35
PDPL,.NS,Parenteral Drugs (India) Limited,Listed,2.9
RCOM,.NS,Reliance Communications Limited,Listed,1.18
ORIENTHOT,.NS,Oriental Hotels Limited,Listed,106.35
ORIENTPPR,.NS,Orient Paper & Industries Limited,Listed,23.24
ORISSAMINE,.NS,The Orissa Minerals Development Company Limited,Listed,4736.4
PENIND,.NS,Pennar Industries Limited,Listed,200.89
PAGEIND,.NS,Page Industries Limited,Listed,36930.0
PANAMAPET,.NS,Panama Petrochem Limited,Listed,276.5
PATINTLOG,.NS,Patel Integrated Logistics Limited,Listed,13.67
PEARLPOLY,.NS,Pearl Polymers Limited,Listed,22.15
PERSISTENT,.NS,Persistent Systems Limited,Listed,6336.5
PETRONET,.NS,Petronet LNG Limited,Listed,268.95
PFIZER,.NS,Pfizer Limited,Listed,5000.2
POLYPLEX,.NS,Polyplex Corporation Limited,Listed,828.55
PFS,.NS,PTC India Financial Services Limited,Listed,34.28
PIDILITIND,.NS,Pidilite Industries Limited,Listed,1476.8
PHOENIXLTD,.NS,The Phoenix Mills Limited,Listed,1770.9
RAYMOND,.NS,Raymond Limited,Listed,451.9
PNB,.NS,Punjab National Bank,Listed,117.81
PNBGILTS,.NS,PNB Gilts Limited,Listed,79.49
PRIMESECU,.NS,Prime Securities Limited,Listed,280.7
PNC,.NS,Pritish Nandy Communications Limited,Listed,27.2
POLYMED,.NS,Poly Medicure Limited,Listed,1889.8
PPAP,.NS,PPAP Automotive Limited,Listed,218.23
PRAKASH,.NS,Prakash Industries Limited,Listed,134.73
PRAENG,.NS,Prajay Engineers Syndicate Limited,Listed,28.27
PRECWIRE,.NS,Precision Wires India Limited,Listed,235.9
PRESTIGE,.NS,Prestige Estates Projects Limited,Listed,1660.9
PREMIER,.NS,Premier Limited,Listed,2.78
PTC,.NS,PTC India Limited,Listed,155.9
RAMCOSYS,.NS,Ramco Systems Limited,Listed,658.75
PSB,.NS,Punjab & Sind Bank,Listed,27.71
SANWARIA,.NS,Sanwaria Agro Oils Limited,Listed,0.26
PURVA,.NS,Puravankara Projects Limited,Listed,243.78
PTL,.NS,PTL Enterprises Limited,Listed,39.08
REPRO,.NS,Repro India Limited,Listed,466.25
RMCL,.NS,Radha Madhav Corporation Limited,Listed,200.0
RAJTV,.NS,Raj Television Network Limited,Listed,40.62
RAIN,.NS,Rain Industries Limited,Listed,106.86
RAJESHEXPO,.NS,Rajesh Exports Limited,Listed,192.25
RAMCOIND,.NS,Ramco Industries Limited,Listed,317.2
RANASUG,.NS,Rana Sugars Limited,Listed,13.25
QNIFTY,.NS,Quantum Index Fund -Exchange Traded Fund (ETF),Listed,2847.02
SHARIABEES,.NS,Goldman Sachs S&P CNX Nifty Shariah Index Exchange Traded Scheme,Listed,511.84
RCF,.NS,Rashtriya Chemicals and Fertilizers Limited,Listed,138.19
RKFORGE,.NS,Ramkrishna Forgings Limited,Listed,516.15
RECLTD,.NS,Rural Electrification Corporation Limited,Listed,344.4
RAMANEWS,.NS,Shree Rama Newsprint Limited,Listed,31.17
ROSSELLIND,.NS,Rossell India Limited,Listed,55.05
RELAXO,.NS,Relaxo Footwears Limited,Listed,405.05
RPOWER,.NS,Reliance Power Limited,Listed,34.53
RELCONS,.NS,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND,Listed,128.47
RELIGARE,.NS,Religare Enterprises Limited,Listed,233.66
RUCHIRA,.NS,Ruchira Papers Limited,Listed,120.29
RESPONIND,.NS,Responsive Industries Limited,Listed,194.57
SGL,.NS,STL Global Limited,Listed,13.04
SAGCEM,.NS,Sagar Cements Limited,Listed,213.02
RIIL,.NS,Reliance Industrial Infrastructure Limited,Listed,823.65
SAIL,.NS,Steel Authority of India Limited,Listed,131.9
RKDL,.NS,Ravi Kumar Distilleries Limited,Listed,24.24
ROHLTD,.NS,Royal Orchid Hotels Limited,Listed,383.25
SALSTEEL,.NS,S.A.L. Steel Limited,Listed,35.3
RML,.NS,Rane (Madras) Limited,Listed,741.05
ROLTA,.NS,Rolta India Limited,Listed,1.77
SURYAROSNI,.NS,Surya Roshni Limited,Listed,261.15
RPPINFRA,.NS,R.P.P. Infra Projects Limited,Listed,102.45
RSWM,.NS,RSWM Limited,Listed,153.62
RSSOFTWARE,.NS,R. S. Software (India) Limited,Listed,57.73
SANOFI,.NS,Sanofi India Limited,Listed,4242.2
RSYSTEMS,.NS,R Systems International Limited,Listed,402.95
RUSHIL,.NS,Rushil Decor Limited,Listed,23.29
SARLAPOLY,.NS,Sarla Performance Fibers Limited,Listed,85.65
SAKSOFT,.NS,Saksoft Limited,Listed,190.28
SANDESH,.NS,The Sandesh Limited,Listed,1067.5
SAREGAMA,.NS,Saregama India Limited,Listed,365.45
SOMANYCERA,.NS,Somany Ceramics Limited,Listed,419.5
SCHNEIDER,.NS,Schneider Electric Infrastructure Limited,Listed,717.4
SMSPHARMA,.NS,SMS Pharmaceuticals Limited,Listed,320.7
SMLISUZU,.NS,SML Isuzu Limited,Listed,3765.0
SANGHVIMOV,.NS,Sanghvi Movers Limited,Listed,306.15
SETFNIF50,.NS,SBI-ETF Nifty 50,Listed,278.52
SEAMECLTD,.NS,Seamec Limited,Listed,1027.2
SHAKTIPUMP,.NS,Shakti Pumps (India) Limited,Listed,650.15
SHOPERSTOP,.NS,Shoppers Stop Limited,Listed,439.0
SHIVAMAUTO,.NS,Shivam Autotech Limited,Listed,26.92
SHREECEM,.NS,Shree Cements Limited,Listed,26285.0
SHREYANIND,.NS,Shreyans Industries Limited,Listed,180.73
SIEMENS,.NS,Siemens Limited,Listed,3144.6
SIMPLEXINF,.NS,Simplex Infrastructures Limited,Listed,272.0
SIYSIL,.NS,Siyaram Silk Mills Limited,Listed,650.05
SPIC,.NS,Southern Petrochemicals Industries Corporation Limited,Listed,80.62
SMARTLINK,.NS,Smartlink Network Systems Limited,Listed,132.55
SUMMITSEC,.NS,Summit Securities Limited,Listed,1968.5
SOMATEX,.NS,Soma Textiles & Industries Limited,Listed,106.33
SPARC,.NS,Sun Pharma Advanced Research Company Limited,Listed,136.84
SOTL,.NS,Savita Oil Technologies Limited,Listed,372.75
SPENTEX,.NS,Spentex Industries Limited,Listed,280.0
SPLIL,.NS,SPL Industries Limited,Listed,36.75
SRF,.NS,SRF Limited,Listed,3023.6
TALWALKARS,.NS,Talwalkars Better Value Fitness Limited,Listed,1.45
STEL,.NS,Stel Holdings Limited,Listed,527.9
SUPREMEIND,.NS,Supreme Industries Limited,Listed,3221.1
STERTOOLS,.NS,Sterling Tools Limited,Listed,270.15
SUPREMEINF,.NS,Supreme Infrastructure India Limited,Listed,89.99
STCINDIA,.NS,The State Trading Corporation of India Limited,Listed,122.35
SUDARSCHEM,.NS,Sudarshan Chemical Industries Limited,Listed,996.5
SUNDARAM,.NS,Sundaram Multi Pap Limited,Listed,1.78
SUNFLAG,.NS,Sunflag Iron And Steel Company Limited,Listed,251.85
TCIFINANCE,.NS,TCI Finance Limited,Listed,11.33
SUNDRMFAST,.NS,Sundram Fasteners Limited,Listed,936.1
STARPAPER,.NS,Star Paper Mills Limited,Listed,160.74
SUPERHOUSE,.NS,Superhouse Limited,Listed,147.28
SUPRAJIT,.NS,Suprajit Engineering Limited,Listed,444.7
SURYALAXMI,.NS,Suryalakshmi Cotton Mills Limited,Listed,57.95
SWELECTES,.NS,Swelect Energy Systems Limited,Listed,640.4
SWARAJENG,.NS,Swaraj Engines Limited,Listed,3712.7
SUVEN,.NS,Suven Life Sciences Limited,Listed,170.79
SYMPHONY,.NS,Symphony Limited,Listed,869.35
TAKE,.NS,Take Solutions Limited,Listed,34.6
TAINWALCHM,.NS,Tainwala Chemical and Plastic (I) Limited,Listed,159.92
TATACHEM,.NS,Tata Chemicals Limited,Listed,758.85
TGBHOTELS,.NS,TGB BANQUETS AND HOTELS LIMITED,Listed,9.91
TARAPUR,.NS,Tarapur Transformers Limited,Listed,30.62
THANGAMAYL,.NS,Thangamayil Jewellery Limited,Listed,3196.6
TATAMOTORS,.NS,Tata Motors Limited,Listed,347.45
TATAINVEST,.NS,Tata Investment Corporation Limited,Listed,721.85
TATASTEEL,.NS,Tata Steel Limited,Listed,171.89
UNICHEMLAB,.NS,Unichem Laboratories Limited,Listed,455.8
TECHM,.NS,Tech Mahindra Limited,Listed,1578.4
TEXINFRA,.NS,Texmaco Infrastructure & Holdings Limited,Listed,105.9
TEXMOPIPES,.NS,Texmo Pipes and Products Limited,Listed,50.04
TEXRAIL,.NS,Texmaco Rail & Engineering Limited,Listed,125.91
TIMETECHNO,.NS,Time Technoplast Limited,Listed,186.83
TTML,.NS,Tata Teleservices (Maharashtra) Limited,Listed,49.1
TIJARIA,.NS,Tijaria Polypipes Limited,Listed,6.0
TIMKEN,.NS,Timken India Limited,Listed,3054.2
TI,.NS,Tilaknagar Industries Limited,Listed,452.2
YESBANK,.NS,Yes Bank Limited,Listed,21.92
TORNTPHARM,.NS,Torrent Pharmaceuticals Limited,Listed,3791.5
TREEHOUSE,.NS,Tree House Education & Accessories Limited,Listed,8.53
THEMISMED,.NS,Themis Medicare Limited,Listed,103.29
TITAN,.NS,Titan Company Limited,Listed,3880.2
TRIVENI,.NS,Triveni Engineering & Industries Limited,Listed,357.85
TVSELECT,.NS,TVS Electronics Limited,Listed,453.2
UNITY,.NS,Unity Infraprojects Limited,Listed,0.85
WOCKPHARMA,.NS,Wockhardt Limited,Listed,1341.2
TOKYOPLAST,.NS,Tokyo Plast International Limited,Listed,112.73
TVSSRICHAK,.NS,TVS Srichakra Limited,Listed,4277.5
UBL,.NS,United Breweries Limited,Listed,1648.2
UTTAMSUGAR,.NS,Uttam Sugar Mills Limited,Listed,253.52
TRENT,.NS,Trent Limited,Listed,4075.4
UFLEX,.NS,UFLEX Limited,Listed,471.45
UGARSUGAR,.NS,The Ugar Sugar Works Limited,Listed,44.91
ULTRACEMCO,.NS,UltraTech Cement Limited,Listed,11723.0
UFO,.NS,UFO Moviez India Limited,Listed,77.61
WINSOME,.NS,Winsome Yarns Limited,Listed,2.0
UNIENTER,.NS,Uniphos Enterprises Limited,Listed,137.25
UNIPLY,.NS,Uniply Industries Limited,Listed,4.0
VESUVIUS,.NS,Vesuvius India Limited,Listed,477.55
UNIONBANK,.NS,Union Bank of India,Listed,152.74
XCHANGING,.NS,Xchanging Solutions Limited,Listed,82.16
ZYDUSWELL,.NS,Zydus Wellness Limited,Listed,426.4
V2RETAIL,.NS,V2 Retail Limited,Listed,2229.3
VALUEIND,.NS,Value Industries Limited,Listed,3.8
VENUSREM,.NS,Venus Remedies Limited,Listed,825.4
WIPRO,.NS,Wipro Limited,Listed,260.6
VHL,.NS,Vardhman Holdings Limited,Listed,3555.9
VIPIND,.NS,VIP Industries Limited,Listed,351.55
VISASTEEL,.NS,Visa Steel Limited,Listed,48.9
VISESHINFO,.NS,Visesh Infotecnics Limited,Listed,0.33
WILLAMAGOR,.NS,Williamson Magor & Company Limited,Listed,30.13
WALCHANNAG,.NS,Walchandnagar Industries Limited,Listed,175.53
WEBELSOLAR,.NS,Websol Energy System Limited,Listed,89.96
WELINV,.NS,Welspun Investments and Commercials Limited,Listed,1433.7
VIPULLTD,.NS,Vipul Limited,Listed,10.24
WINDMACHIN,.NS,Windsor Machines Limited,Listed,277.2
WSTCSTPAPR,.NS,West Coast Paper Mills Limited,Listed,408.2
ZODIACLOTH,.NS,Zodiac Clothing Company Limited,Listed,87.84
ZICOM,.NS,Zicom Electronic Security Systems Limited,Listed,1.6
ZENSARTECH,.NS,Zensar Technologies Limited,Listed,736.1
A2ZINFRA,.NS,A2Z INFRA ENGINEERING LIMITED,Listed,14.79
ADANIENT,.NS,Adani Enterprises Limited,Listed,2282.4
ABB,.NS,ABB India Limited,Listed,5278.0
AKSHOPTFBR,.NS,Aksh Optifibre Limited,Listed,6.5
AJMERA,.NS,Ajmera Realty & Infra India Limited,Listed,993.3
ACCELYA,.NS,Accelya Kale Solutions Limited,Listed,1309.8
ADSL,.NS,Allied Digital Services Limited,Listed,157.29
20MICRONS,.NS,20 Microns Limited,Listed,190.5
AARTIDRUGS,.NS,Aarti Drugs Limited,Listed,394.7
3MINDIA,.NS,3M India Limited,Listed,35465.0
AARTIIND,.NS,Aarti Industries Limited,Listed,356.95
ARCHIDPLY,.NS,Archidply Industries Limited,Listed,92.54
ACE,.NS,Action Construction Equipment Limited,Listed,933.75
ALKEM,.NS,Alkem Laboratories Limited,Listed,5631.0
ARVIND,.NS,Arvind Limited,Listed,318.15
ADVANIHOTR,.NS,Advani Hotels & Resorts (India) Limited,Listed,57.94
ARIES,.NS,Aries Agro Limited,Listed,322.75
AHLWEST,.NS,Asian Hotels (West) Limited,Listed,144.15
AMBUJACEM,.NS,Ambuja Cements Limited,Listed,548.15
AMDIND,.NS,AMD Industries Limited,Listed,50.33
AGARIND,.NS,Agarwal Industrial Corporation Limited,Listed,685.45
ALCHEM,.NS,Alchemist Limited,Listed,3.15
ALKYLAMINE,.NS,Alkyl Amines Chemicals Limited,Listed,1596.2
AMRUTANJAN,.NS,Amrutanjan Health Care Limited,Listed,687.45
ASHAPURMIN,.NS,Ashapura Minechem Limited,Listed,745.45
BHARATIDIL,.NS,Bharati Defence and Infrastructure Limited,Listed,1.95
ASAHISONG,.NS,Asahi Songwon Colors Limited,Listed,250.8
APOLLOTYRE,.NS,Apollo Tyres Limited,Listed,510.0
APARINDS,.NS,Apar Industries Limited,Listed,9023.5
APCOTEXIND,.NS,Apcotex Industries Limited,Listed,371.6
ASAHIINDIA,.NS,Asahi India Glass Limited,Listed,996.2
ASHIANA,.NS,Ashiana Housing Limited,Listed,291.95
ASHOKA,.NS,Ashoka Buildcon Limited,Listed,165.45
ASIANTILES,.NS,Asian Granito India Limited,Listed,63.54
ASTRAL,.NS,Astral Poly Technik Limited,Listed,1416.4
ASTEC,.NS,Astec LifeSciences Limited,Listed,703.9
BIRLACORPN,.NS,Birla Corporation Limited,Listed,1070.4
ASTRAMICRO,.NS,Astra Microwave Products Limited,Listed,907.05
ASTRAZEN,.NS,AstraZeneca Pharma India Limited,Listed,9155.0
APOLLOHOSP,.NS,Apollo Hospitals Enterprise Limited,Listed,7101.0
ATULAUTO,.NS,Atul Auto Limited,Listed,441.7
AURIONPRO,.NS,Aurionpro Solutions Limited,Listed,1151.5
AUROPHARMA,.NS,Aurobindo Pharma Limited,Listed,1195.1
AUTOIND,.NS,Autoline Industries Limited,Listed,74.18
AXISBANK,.NS,Axis Bank Limited,Listed,1286.1
ASHOKLEY,.NS,Ashok Leyland Limited,Listed,163.86
BAJFINANCE,.NS,Bajaj Finance Limited,Listed,1017.3
BALAMINES,.NS,Balaji Amines Limited,Listed,1120.6
BRFL,.NS,Bombay Rayon Fashions Limited,Listed,2.0
BALLARPUR,.NS,Ballarpur Industries Limited,Listed,257.58
BANSWRAS,.NS,Banswara Syntex Limited,Listed,114.17
DHANBANK,.NS,Dhanlaxmi Bank Limited,Listed,25.28
BANKBEES,.NS,Goldman Sachs Banking Index Exchange Traded Scheme,Listed,613.14
BHARATGEAR,.NS,Bharat Gears Limited,Listed,104.36
BANKBARODA,.NS,Bank of Baroda,Listed,284.45
DLF,.NS,DLF Limited,Listed,699.4
BEDMUTHA,.NS,Bedmutha Industries Limited,Listed,101.59
BERGEPAINT,.NS,Berger Paints (I) Limited,Listed,541.25
CANFINHOME,.NS,Can Fin Homes Limited,Listed,915.4
BEML,.NS,BEML Limited,Listed,1690.4
BPCL,.NS,Bharat Petroleum Corporation Limited,Listed,365.05
BRITANNIA,.NS,Britannia Industries Limited,Listed,5915.5
BIL,.NS,Bhartiya International Limited,Listed,759.25
BLISSGVS,.NS,Bliss GVS Pharma Limited,Listed,144.37
BLBLIMITED,.NS,BLB Limited,Listed,14.95
CERA,.NS,Cera Sanitaryware Limited,Listed,5258.5
BPL,.NS,BPL Limited,Listed,57.04
BSLGOLDETF,.NS,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth,Listed,116.13
BRIGADE,.NS,Brigade Enterprises Limited,Listed,886.05
BYKE,.NS,The Byke Hospitality Ltd,Listed,52.21
CARBORUNIV,.NS,Carborundum Universal Limited,Listed,874.6
DEEPAKFERT,.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,Listed,1236.3
BLUEDART,.NS,Blue Dart Express Limited,Listed,5393.5
CEREBRAINT,.NS,Cerebra Integrated Technologies Limited,Listed,6.73
CANBK,.NS,Canara Bank,Listed,146.63
CARERATING,.NS,Credit Analysis And Research Limited,Listed,1541.0
DEN,.NS,Den Networks Limited,Listed,30.61
CCL,.NS,CCL Products (India) Limited,Listed,1025.3
EVERESTIND,.NS,Everest Industries Limited,Listed,515.05
CENTUM,.NS,Centum Electronics Limited,Listed,2302.8
CHAMBLFERT,.NS,Chambal Fertilizers & Chemicals Limited,Listed,433.5
CHENNPETRO,.NS,Chennai Petroleum Corporation Limited,Listed,927.4
CINELINE,.NS,Cineline India Limited,Listed,84.88
CHOLAFIN,.NS,Cholamandalam Investment and Finance Company Limited,Listed,1735.6
CONCOR,.NS,Container Corporation of India Limited,Listed,505.5
DALMIASUG,.NS,Dalmia Bharat Sugar and Industries Limited,Listed,297.65
COMPUSOFT,.NS,Compucom Software Limited,Listed,16.57
CONSOFINVT,.NS,Consolidated Finvest & Holdings Limited,Listed,166.57
CORDSCABLE,.NS,Cords Cable Industries Limited,Listed,185.69
DBSTOCKBRO,.NS,DB (International) Stock Brokers Limited,Listed,25.37
COUNCODOS,.NS,Country Condo's Limited,Listed,5.91
DRREDDY,.NS,Dr. Reddy's Laboratories Limited,Listed,1279.3
CPSEETF,.NS,Goldman Sachs Mutual Fund - CPSE ETF - Growth Option,Listed,89.58
CTE,.NS,Cambridge Technology Enterprises Limited,Listed,42.93
CUB,.NS,City Union Bank Limited,Listed,273.35
DHARSUGAR,.NS,Dharani Sugars & Chemicals Limited,Listed,8.55
DBCORP,.NS,D.B.Corp Limited,Listed,242.1
DEEPAKNTR,.NS,Deepak Nitrite Limited,Listed,1528.6
DCM,.NS,DCM Limited,Listed,92.27
DSKULKARNI,.NS,DS Kulkarni Developers Limited,Listed,13.55
DECCANCE,.NS,Deccan Cements Limited,Listed,756.4
DHANUKA,.NS,Dhanuka Agritech Limited,Listed,1204.9
DELTAMAGNT,.NS,Delta Magnets Limited,Listed,71.84
EASTSILK,.NS,Eastern Silk Industries Limited,Listed,91.51
DELTACORP,.NS,Delta Corp Limited,Listed,70.29
DONEAR,.NS,Donear Industries Limited,Listed,98.96
FDC,.NS,FDC Limited,Listed,418.9
DTIL,.NS,Dhunseri Tea & Industries Limited,Listed,161.93
EMMBI,.NS,Emmbi Industries Limited,Listed,96.02
DYNAMATECH,.NS,Dynamatic Technologies Limited,Listed,9257.0
DWARKESH,.NS,Dwarikesh Sugar Industries Limited,Listed,39.95
EDELWEISS,.NS,Edelweiss Financial Services Limited,Listed,103.42
ECLERX,.NS,eClerx Services Limited,Listed,4492.5
GREAVESCOT,.NS,Greaves Cotton Limited,Listed,181.96
